mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0990800176,老眷村蘿蔔絲餅,北投區,石牌路二段75巷4號,,,,,301203.465,2779023.924,,,,,,永明里,美食佳餚,各類小吃,,,
0990801055,龍香珍快餐,中正區,公園路20巷15號,,,,,301284.271,2771082.95,,,,,,黎明里,美食佳餚,中式料理,快餐店,,
0990801066,三多燒腊,萬華區,萬青街133號,,,,,299797.469,2768665.594,,,,,,忠貞里,美食佳餚,中式料理,快餐店,,
0990801769,美樂佳食坊,萬華區,武成街80巷57號,,,,,299133.1,2768341.055,,,,,,榮德里,美食佳餚,其他美食,,,
0990801780,香積廚房,萬華區,富民路145巷15弄80號,,,,,299603.123,2768181.252,,,,,,興德里,美食佳餚,其他美食,,,
0990801964,鍋加煲,北投區,裕民一路40巷13號,,,,0,301396.811,2778937.371,,,0,,,振華里,美食佳餚,火鍋燒烤,火鍋料理,,
0971102889,李大吉溫州大餛飩,北投區,中央北路四段511號,,,,,296416.143,2780258.022,,,,,,一德里,美食佳餚,各類小吃,,,
0971103183,和民居食屋,士林區,中正路115號,,,,,302480.831,2776682.396,,,,,,福林里,美食佳餚,日式料理,,,
0971103219,周廚燒肉盒餐,士林區,承德路四段40巷141號,,,,,301637.294,2775152.733,,,,,,福華里,美食佳餚,中式料理,快餐店,,
0971103473,素蘭越南道地美食,中正區,中華路二段391號,,,,,300425.64,2768982.182,,,,,,永昌里,美食佳餚,異國料理,南洋料理,,
0980700994,立可康caf’e,松山區,民權東路三段160巷19弄4號,,,,,304424.585,2772779.76,,,,,,民有里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0980701792,珍妃咖啡坊,松山區,復興北路231巷9號,,,,0,304163.127,2772415.094,,,0,,,松基里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0980702005,品田牧場日式料理,松山區,民生東路四段45號地下1層,,,,,304673.416,2772511.852,,,,,,精忠里,美食佳餚,日式料理,,,
0971104289,珍寶園,萬華區,環河南路二段308號,,,,,298650.912,2769516.331,,,,,,華江里,美食佳餚,中式料理,台式料理,,
0971104398,美食香,士林區,克強路3號,,,,,302105.812,2778124.025,,,,,,蘭興里,美食佳餚,中式料理,台式料理,,
0971104595,香鄉麵食,中正區,汀州路三段133號,,,,,302750.913,2767873.24,,,,,,文盛里,美食佳餚,中式料理,北方麵食,,
0971105117,康園餐廳,中正區,濟南路一段1號,,,,,301644.992,2770865.899,,,,,,幸福里,美食佳餚,中式料理,台式料理,,
0971105150,得記麻辣,中正區,羅斯福路四段52巷16弄4號,,,,,303029.131,2767689.461,,,,,,水源里,美食佳餚,火鍋燒烤,火鍋料理,,
0971105406,鹿港豬腸冬粉,中正區,天津街11巷2弄2號,,,,,301894.85,2771335.778,,,,,,梅花里,美食佳餚,各類小吃,,,
0971105431,唭哩岸包子,北投區,東華街二段350號,,,,,300132.506,2779511.802,,,,,,東華里,美食佳餚,各類小吃,,,
0991000595,老王鍋貼店,中正區,愛國東路110巷28號1樓,,,,,301765.896,2769705.015,,,,,,新營里,美食佳餚,各類小吃,,,
0981018091,利長春小吃站,松山區,復興南路一段47巷3號,,,,,304096.072,2771126.013,,,,,,中崙里,美食佳餚,各類小吃,,,
0981018741,阿池鵝肉,松山區,塔悠路3號,7-11,,,0,306910.697,2771668.296,www.7-11.com.tw/,,0,,,,美食佳餚,各類小吃,,,
0981018821,松山切仔麵,松山區,南京東路五段358號,,,,,306654.912,2771758.509,,,,,,新聚里,美食佳餚,中式料理,北方麵食,,
0981018863,旺家涼麵,松山區,基隆路一段2號,,,,,306682.303,2771738.66,,,,,,新聚里,美食佳餚,各類小吃,,,
0981019096,Kavin主廚,松山區,延吉街24之1號,,,,,305014.238,2771244.34,,,,,,吉仁里,美食佳餚,其他美食,,,
0981019124,即興爵士咖啡,松山區,南京東路五段23巷6弄29號1樓,,,,,305587.227,2771887.133,,,,,,東光里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0981019128,大成古早味,松山區,南京東路五段23巷7弄2號1樓,,,,,305462.634,2771880.744,,,,,,東光里,美食佳餚,各類小吃,,,
0981016536,悅香餐廳,內湖區,成功路四段327號,,,,,309584.001,2775479.215,,,,,,秀湖里,美食佳餚,各類小吃,,,
0981016908,錢都日式涮涮鍋,文山區,景興路165號,,,,,304150.934,2765368.141,,,,,,景東里,美食佳餚,日式料理,,,
0981017094,天來香,文山區,興隆路二段94之4號,,,,0,304663.09,2766165.874,,,0,,,興安里,美食佳餚,中式料理,江浙料理,,
0990800353,塔羅咖啡,士林區,小西街41號,,,,0,301962.723,2776057.38,,,0,,,義信里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0980703775,JU-C,大同區,長安西路47號,,,,0,301425.068,2771706.04,,,0,,,建泰里,美食佳餚,茶飲冰品,泡沫紅茶,,
0981000011,台北橋飯?,大同區,民權西路310號,,,,,300599.625,2773052.801,,,,,,南芳里,美食佳餚,各類小吃,,,
0981000199,珊珊清茶館,大同區,迪化街二段172之1號,,,,,300649.909,2773530.545,,,,,,國順里,美食佳餚,茶飲冰品,茶坊,,
0971102865,志明牛肉麵,士林區,德行西路80號,,,,,301793.263,2777647.871,,,,,,德華里,美食佳餚,中式料理,北方麵食,,
0971102907,杜家豬腸冬粉,士林區,天母東路8巷31弄4號,,,,,302817.486,2779018.851,,,,,,天福里,美食佳餚,各類小吃,,,
0971103228,日本讚岐烏龍麵,北投區,知行路225巷2號,,,,0,296243.274,2779368.227,,,0,,,關渡里,美食佳餚,日式料理,,,
0971103342,忠誠小吃店,士林區,中山北路六段41號,,,,,302083.047,2777584.859,,,,,,德行里,美食佳餚,各類小吃,,,
0971103572,松江魚丸號,士林區,華榮街68之3號,,,,,301955.495,2776806.533,,,,,,福佳里,美食佳餚,各類小吃,,,
0981005271,水族港店,大安區,復興南路二段86號,,,,,303998.688,2769480.281,,,,,,龍圖里,美食佳餚,中式料理,台式料理,,
0981005734,多福美食,大安區,和平東路二段363號,,,,,304314.111,2768846.012,,,,,,群賢里,美食佳餚,其他美食,,,
0981005738,八方小館,大安區,和平東路三段1巷6之1號,,,,,304337.145,2768855.127,,,,,,群賢里,美食佳餚,中式料理,快餐店,,
0981006005,焰窩,大安區,安和路二段184巷8號,,,,0,304664.563,2768862.531,,,0,,,全安里,美食佳餚,火鍋燒烤,火鍋料理,,
0980701746,松竹卡拉OK,大同區,南京西路344巷7號,,,,,300851.031,2772016.922,,,,,,朝陽里,美食佳餚,娛樂餐飲,啤酒屋,,
0980701756,永緣素食餐坊,中山區,龍江路356巷13號,,,,,303683.462,2773411.601,,,,,,行仁里,美食佳餚,養身素食,素食料理,,
0980701927,阿莎莉清茶館,大同區,安西街25號,,,,,300629.786,2772716.015,,,,,,大有里,美食佳餚,茶飲冰品,茶坊,,
0980702019,娃娃魚,松山區,民生東路三段130巷5弄16號,,,,,304352.294,2772409.305,,,,,,松基里,美食佳餚,養身素食,素食料理,,
0980702043,欣欣大眾魷魚羹,松山區,興安街169號,,,,0,304247.75,2772314.263,,,0,,,松基里,美食佳餚,各類小吃,,,
0980702145,手作咖啡,松山區,民生東路三段113巷25弄17號,,,,0,304312.73,2772713.449,,,0,,,民有里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0980702455,禾圓烘焙坊,大同區,延平北路二段164號,,,,,300767.952,2772512.075,,,,,,大有里,美食佳餚,其他美食,,,
0990800113,丞祖胡椒餅,士林區,文林路101巷2號,,,,,302221.521,2775844.897,,,,,,仁勇里,美食佳餚,各類小吃,,,
0990800120,八方雲集鍋貼水餃專賣店,士林區,前港街34號,,,,,301793.943,2775450.76,,,,,,前港里,美食佳餚,各類小吃,,,
0990800133,雙連鹹湯圓,士林區,大南路258號,,,,,301629.707,2775904.675,,,,,,後港里,美食佳餚,各類小吃,,,
0990800175,九福餡餅粥,北投區,石牌路二段99巷53號,,,,,301284.191,2779182.328,,,,,,永明里,美食佳餚,各類小吃,,,
0990800201,粥潤發香菇肉粥,萬華區,萬大路423巷10弄2號,,,,,299540.032,2768430.816,,,,,,興德里,美食佳餚,各類小吃,,,
0990800213,台南麻豆碗粿,中正區,汀州路一段197號,,,,,300782.547,2769063.162,,,,,,永功里,美食佳餚,各類小吃,,,
0990800230,鄭家天津小籠湯包,中正區,南海路114號,,,,,300399.901,2769102.853,,,,,,永昌里,美食佳餚,各類小吃,,,
0990800332,孝日本料理,北投區,裕民六路114巷25號,,,,,301430.629,2778759.404,,,,,,裕民里,美食佳餚,日式料理,,,
0990800361,牛哥沙茶牛肉,萬華區,寶興街75號,,,,,299053.547,2768990.016,,,,,,忠德里,美食佳餚,中式料理,台式料理,,
0990800365,亞洲海產,萬華區,東園街66巷53弄50號,,,,,299107.663,2768954.715,,,,,,忠德里,美食佳餚,中式料理,台式料理,,
0991003704,元山咖啡momo水蜜桃園,士林區,平菁街43巷1號,,,,,306971.415,2780636.237,,,,,,平等里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0991003760,北回木瓜牛奶,萬華區,昆明街130號,,,,,300108.025,2770873.407,,,,,,西門里,美食佳餚,茶飲冰品,泡沫紅茶,,
0991003781,CoCo都可,信義區,基隆路二段19號1樓,,,,,305594.847,2769642.051,,,,,,景聯里,美食佳餚,茶飲冰品,泡沫紅茶,,
0991003801,水檸檬茶飲,南港區,研究院路三段232號,,,,,310786.556,2769877.586,,,,,,九如里,美食佳餚,茶飲冰品,泡沫紅茶,,
0991003923,印尼商店,中正區,辛亥路一段27號,,,,,302481.75,2768224.321,,,,,,林興里,美食佳餚,異國料理,南洋料理,,
0991004426,亞克西新疆屋,士林區,福壽街31號,,,,,302172.594,2776752.979,,,,,,舊佳里,美食佳餚,中式料理,雲南料理,,
0991004432,金冠櫻山水溫泉餐廳,士林區,竹子湖路210號,,,,,306508.852,2785806.727,,,,,,菁山里,美食佳餚,養身素食,食補.溫泉,,
0991004444,Yummy美式早餐義大利麵,士林區,士東路2巷9號,,,,,302246.675,2778432.211,,,,,,蘭雅里,美食佳餚,異國料理,義式料理,,
0981012048,福州魚丸,中山區,伊通街127之5號1樓,,,,,303142.121,2772102.214,,,,,,中央里,美食佳餚,各類小吃,,,
0981012134,Pun House,中山區,長春路182之2號1樓,,,,,303092.318,2772144.631,,,,,,中央里,美食佳餚,其他美食,,,
0981012269,唱頌音樂歌城,中山區,錦州街115號,,,,,302499.789,2772782.988,,,,,,新生里,美食佳餚,娛樂餐飲,啤酒屋,,
0981012330,市兩原味無煙燒肉,中山區,民權東路二段13號,,,,0,302507.145,2773042.009,,,0,,,新福里,美食佳餚,火鍋燒烤,石器.碳烤,,
0980700350,小春園小吃,大同區,南京西路149號,,,,,300994.722,2772073.87,,,,,,朝陽里,美食佳餚,各類小吃,,,
0980701500,來來順?餅粥,文山區,羅斯福路六段298號,,,,,303656.759,2765068.896,,,,,,景美里,美食佳餚,其他美食,,,
0990802119,素食餐廳,中正區,中華路二段311巷31號,,,,,300286.804,2769286.294,,,,,,忠勤里,美食佳餚,養身素食,素食料理,,
0990802280,新疆特色碳烤,士林區,承德路四段96號,,,,,301934.65,2775244.923,,,,,,承德里,美食佳餚,火鍋燒烤,石器.碳烤,,
0991000507,阿吉手工水餃,信義區,松山路161巷6號,,,,,307509.14,2771226.206,,,,,,永吉里,美食佳餚,各類小吃,,,
0991000510,阿財魚翅肉?,士林區,士東路78巷1號,,,,,302499.234,2778472.35,,,,,,蘭雅里,美食佳餚,各類小吃,,,
0991000540,三元豆漿店,中正區,三元街225號,,,,,300992.182,2769140.423,,,,,,永功里,美食佳餚,各類小吃,,,
0991000548,三發包子店,中正區,汀州路二段135號1樓,,,,,301619.766,2768851.788,,,,,,板溪里,美食佳餚,各類小吃,,,
0991000811,火鍋世家,南港區,興中路12巷25號,,,,,310357.219,2772213.929,,,,,,南港里,美食佳餚,火鍋燒烤,火鍋料理,,
0991000812,火鍋世家涮涮屋,士林區,天母東路43巷4弄3號,,,,,302881.667,2779229.102,,,,,,天山里,美食佳餚,火鍋燒烤,火鍋料理,,
0981002082,壹咖啡台北孔廟店,大同區,酒泉街62號,,,,,301182.37,2774045.449,,,,,,至聖里,美食佳餚,茶飲冰品,咖啡.下午茶,,
0981002105,鐵板城大龍店,大同區,大龍街278號,,,,,301207.477,2773936.867,,,,,,至聖里,美食佳餚,中式料理,台式料理,,
0981002592,LEAF,大同區,敦煌路22號,,,,0,301583.064,2774413.361,,,0,,,重慶里,美食佳餚,茶飲冰品,泡沫紅茶,,
0980701204,鮮境精緻涮涮鍋,中山區,農安街269號,,,,0,303234.198,2773258.883,,,0,,,行政里,美食佳餚,火鍋燒烤,火鍋料理,,
0981003138,混共同工作室,大安區,和平東路一段104巷6號,,,,0,302141.355,2769019.433,,,0,,,古莊里,美食佳餚,西式料理,西餐.簡餐,,
