mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950119913,萊爾富便利商店,萬華區,雙園街69號,,,,0,299016.793,2769418.79,,,0,,,,休閒購物,生活購物,便利商店,,
0950142441,萊爾富便利商店北市松清店,松山區,南京東路五段250巷3之1號,,,,0,306274.068,2771711.538,,,0,,,新聚里,休閒購物,生活購物,便利商店,,
0950148926,萊爾富便利商店,中山區,長安東路二段171之7號,萊爾富,,,0,303854.515,2771451.886,www.hilife.com.tw/,Hi-Life,0,,,力行里,休閒購物,生活購物,便利商店,,
0950148991,萊爾富便利商店北市安龍店,大安區,臥龍街145之1號,萊爾富,,,0,304765.984,2768139.437,www.hilife.com.tw/,Hi-Life Anlong Branch,0,,,芳和里,休閒購物,生活購物,便利商店,,
0950149029,萊爾富便利商店北市南海店,中正區,南海路14號,萊爾富,,,0,301364.309,2769685.832,www.hilife.com.tw/,Hi-Life Nanhai Branch,0,,,龍福里,休閒購物,生活購物,便利商店,,
0950149091,萊爾富便利商店北市懷德店,北投區,懷德街5號,萊爾富,,,0,301528.698,2778416.159,www.hilife.com.tw/,Hi-Life Huaide Branch,0,,,裕民里,休閒購物,生活購物,便利商店,,
0950149093,萊爾富便利商店北市饒河店,松山區,饒河街35號,萊爾富,,,0,306928.086,2771660.111,www.hilife.com.tw/,Hi-Life Raohe Branch,0,,,慈祐里,休閒購物,生活購物,便利商店,,
0950148950,萊爾富便利商店北市木新二店,文山區,木新路三段232巷6弄18號,萊爾富,,,0,305677.681,2764100.359,www.hilife.com.tw/,Hi-Life Muxin 2 Branch,0,,,樟新里,休閒購物,生活購物,便利商店,,
0950148989,萊爾富便利商店北市安復店,大安區,復興南路一段135巷21號,萊爾富,,,0,304184.343,2770823.035,www.hilife.com.tw/,Hi-Life Anfu Branch,0,,,光武里,休閒購物,生活購物,便利商店,,
0950148997,萊爾富便利商店北市衣蝶店,大同區,南京西路63號,萊爾富,,,0,301533.263,2771965.421,www.hilife.com.tw/,Hi-Life Idee Branch,0,,,光能里,休閒購物,生活購物,便利商店,,
0950148993,萊爾富便利商店北市成康店,內湖區,成功路五段420巷9號,萊爾富,,,0,310485.333,2774467.923,www.hilife.com.tw/,Hi-Life Chengkang Branch,0,,,金湖里,休閒購物,生活購物,便利商店,,
0950149038,萊爾富便利商店北市國醫店,內湖區,民權東路六段123巷32號,萊爾富,,,0,308975.712,2773895.355,www.hilife.com.tw/,Hi-Life Guoyi Branch,0,,,湖興里,休閒購物,生活購物,便利商店,,
0950149054,萊爾富便利商店北市開利店,士林區,社子街142號,萊爾富,,,0,300105.581,2775876.41,www.hilife.com.tw/,Hi-Life Kaili Branch,0,,,社新里,休閒購物,生活購物,便利商店,,
0950149073,萊爾富便利商店北市德昌二店,萬華區,西園路二段281巷31號,萊爾富,,,0,298903.764,2768671.409,www.hilife.com.tw/,Hi-Life Dechang 2 Branch,0,,,錦德里,休閒購物,生活購物,便利商店,,
0950148937,萊爾富便利商店北市大業店,北投區,中和街41號,萊爾富,,,0,299842.311,2781376.629,www.hilife.com.tw/,Hi-Life Daye Branch,0,,,中心里,休閒購物,生活購物,便利商店,,
