mark_markid,mark_name,mark_addr_sect,mark_addr,mark_name1,mark_subunit,mark_subname,mark_flag,mark_xcoor67,mark_ycoor67,mark_html,mark_engname,mark_spot,mark_memo,mark_self,mark_addr_lie,marklev1,marklev2,marklev3,marklev4,marklev5
0950500237,麥當勞台北慶城店,松山區,慶城街8之1號,,,,0,304146.109,2771929.205,www.mcdonalds.com.tw/,McDonalds Taipei Qingcheng Branch,1,,,中正里,美食佳餚,西式料理,速食店,,
0950500266,麥當勞新成都店,萬華區,漢中街116號,,,,0,300370.264,2770835.581,www.mcdonalds.com.tw/,McDonalds Xin Chengdu Branch,1,,,西門里,美食佳餚,西式料理,速食店,,
0950500141,麥當勞林森三店,中山區,林森北路413號1樓,,,,0,302209.471,2772705.412,www.mcdonalds.com.tw/,McDonalds Linsen Third Branch,1,,,聚盛里,美食佳餚,西式料理,速食店,,
0950500202,麥當勞台北動物園店,文山區,新光路二段28號,,,,,307545.993,2765809.97,www.mcdonalds.com.tw/,McDonalds Taipei Zoo Branch,1,,,萬興里,美食佳餚,西式料理,速食店,,
0950500250,麥當勞台北三興店,信義區,基隆路二段99之1號1樓,,,,0,305456.491,2769388.145,www.mcdonalds.com.tw/,McDonalds Taipei Sanxing Branch,1,,,嘉興里,美食佳餚,西式料理,速食店,,
0950500084,麥當勞陽明山店,士林區,格致路62號,,,,0,304288.057,2781353.315,www.mcdonalds.com.tw/,McDonalds Yang Ming Mountain Branch,1,,,陽明里,美食佳餚,西式料理,速食店,,
0950500106,麥當勞台北麟光店,大安區,和平東路三段406巷8之2號1樓,,,,0,305481.357,2768128.656,www.mcdonalds.com.tw/,McDonalds Linguang Branch,1,,,黎和里,美食佳餚,西式料理,速食店,,
0950500110,麥當勞忠孝六店,大安區,忠孝東路四段226號,,,,0,305038.687,2770660.733,www.mcdonalds.com.tw/,McDonalds Zhongxiao Sixth Branch,1,,,車層里,美食佳餚,西式料理,速食店,,
0950500221,麥當勞台北八德店,松山區,八德路三段168號,,,,0,305210.789,2771406.44,www.mcdonalds.com.tw/,McDonalds Taipei Bade Branch,1,,,,美食佳餚,西式料理,速食店,,
0951202999,麥當勞台北西園二店,萬華區,西園路二段242號1樓,,,,0,299114.435,2769188.167,,,0,,,雙園里,美食佳餚,西式料理,速食店,,
